name,year,place,chef,category,location,ranking
Top Taste Restaurant,2020,Top Taste Restaurant,Albert Bartley,Best Chef: New York State,"Kingston, New York",Semifinalist
The Restaurant at 1900,2020,The Restaurant at 1900,Linda Duerr,Best Chef: Midwest,"Mission Woods, Kansas",Semifinalist
Selden Standard,2020,Selden Standard,Andy Hollyday,Best Chef: Great Lakes,"Detroit, Michigan",Semifinalist
Cellar Door Provisions,2020,Cellar Door Provisions,Ethan Pikas,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Dumpling Galaxy,2020,Dumpling Galaxy,Helen You,Best Chef: New York State,"Flushing, New York",Semifinalist
Lil' Deb's Oasis,2020,Lil' Deb's Oasis,Hannah Black,Best Chef: New York State,"Hudson, New York",Semifinalist
Kopitiam,2020,Kopitiam,Kyo Pang,Best Chef: New York State,"New York, New York",Semifinalist
O Mandarin,2020,O Mandarin,Eric Gao,Best Chef: New York State,"Hartsdale, New York",Semifinalist
Superiority Burger,2020,Superiority Burger,Brooks Headley,Best Chef: New York State,"New York, New York",Nominee
Adda,2020,Adda,Chintan Pandya,Best Chef: New York State,"New York, New York",Semifinalist
Don Angie,2020,Don Angie,Angie Rito,Outstanding Chef,"New York, New York",Semifinalist
Uncle Boons,2020,Uncle Boons,Ann Redding,Outstanding Chef,"New York, New York",Semifinalist
Balaboosta,2020,Balaboosta,Einat Admony,Best Chef: New York State,"New York, New York",Semifinalist
Llama Inn,2020,Llama Inn,Erik Ramirez,Best Chef: New York State,"Brooklyn, New York",Semifinalist
Mint Mark,2020,Mint Mark,Sean Pharr,Best Chef: Midwest,"Madison, Wisconsin",Semifinalist
Tilia,2020,Tilia,Steven Brown,Best Chef: Midwest,"Minneapolis, Minnesota",Nominee
Vedge,2020,Vedge,Rich Landau,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Nominee
South Philly Barbacoa,2020,South Philly Barbacoa,Cristina Martinez,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Nominee
Centrolina,2020,Centrolina,Amy Brandwein,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Nominee
Spork,2020,Spork,Christian Frangiadis,Best Chef: Mid-Atlantic,"Pittsburgh, Pennsylvania",Semifinalist
Laurel,2020,Laurel,Nicholas Elmi,Best Chef: Mid-Atlantic,"Collingswood, New Jersey",Nominee
Turkey and the Wolf,2020,Turkey and the Wolf,Mason Hereford,Best Chef: South,"New Orleans, Louisiana",Nominee
Ghee Indian Kitchen,2020,Ghee Indian Kitchen,Niven Patel,Best Chef: South,"Homestead, Florida",Semifinalist
Yeyo’s,2020,Yeyo’s,Rafael Rios,Best Chef: South,"Bentonville, Arkansas",Semifinalist
Balloo Restaurant,2020,Balloo Restaurant,Timon Balloo,Best Chef: South,"Miami, Florida",Semifinalist
Saint-Germain,2020,Saint-Germain,Blake Aguillard,Best Chef: South,"New Orleans, Louisiana",Semifinalist
Topsoil Kitchen & Market,2020,Topsoil Kitchen & Market,Adam Cooke,Best Chef: Southeast,"Travelers Rest, South Carolina",Semifinalist
Decca,2020,Decca,Annie Pettry,Best Chef: Southeast,"Louisville, Kentucky",Semifinalist
Bastion,2020,Bastion,Josh Habiger,Best Chef: Southeast,"Nashville, Tennessee",Semifinalist
Kindred,2020,Kindred,Joe Kindred,Best Chef: Southeast,"Davidson, North Carolina",Semifinalist
BernBaum's,2020,BernBaum's,Andrea Baumgardner,Best Chef: Midwest,"Fargo, North Dakota",Semifinalist
Cúrate,2020,Cúrate,Katie Button,Best Chef: Southeast,"Asheville, North Carolina",Nominee
FOLK,2020,FOLK,Philip Krajeck,Best Chef: Southeast,"Nashville, Tennessee",Semifinalist
SALTBOX Seafood Joint,2020,SALTBOX Seafood Joint,Ricky Moore,Best Chef: Southeast,"Durham, North Carolina",Semifinalist
Delaney Oyster House,2020,Delaney Oyster House,Shamil Velazquez,Best Chef: Southeast,"Charleston, South Carolina",Semifinalist
Saint-Germain,2020,Saint-Germain,Trey Smith,Best Chef: South,"New Orleans, Louisiana",Semifinalist
Rupee,2020,Rupee,Heliotrope Architects,Outstanding Restaurant Design (75 Seats and Under),"Seattle, Washington",Winner
Shore Leave,2020,Shore Leave,Hacin + Associates,Outstanding Restaurant Design (76 Seats and Over),"Boston, Massachusetts",Nominee
Hop Alley,2020,Hop Alley,Tommy Lee,Best Chef: Mountain,"Denver, Colorado",Semifinalist
In Bocca al Lupo,2020,In Bocca al Lupo,Beau Schooler,Best Chef: Northwest & Pacific,"Juneau, Arkansas",Semifinalist
Petite 4,2020,Petite 4,Sarah Kelly,Best Chef: Mountain,"Boise, Idaho",Semifinalist
Walkers Grill,2020,Walkers Grill,Nick Steen,Best Chef: Mountain,"Billings, Montana",Semifinalist
Han Oak,2020,Han Oak,Peter Cho,Best Chef: Northwest & Pacific,"Portland, Oregon",Nominee
Hood Famous Cafe + Bar,2020,Hood Famous Cafe + Bar,Chera Amlag,Best Chef: Northwest & Pacific,"Seattle, Washington",Semifinalist
Tailor,2020,Tailor,Vivek Surti,Best Chef: Southeast,"Nashville, Tennessee",Semifinalist
Bones Restaurant,2020,Bones Restaurant,Leonard Lewis,Best Chef: Southeast,"Atlanta, Georgia",Semifinalist
Hogstone,2020,Hogstone,Jay Blackinton,Best Chef: Northwest & Pacific,"Eastsound, Washington",Semifinalist
Senia,2020,Senia,Chris Kajioka,Best Chef: Northwest & Pacific,"Honolulu, Hawaii",Nominee
Au Courant Regional Kitchen,2020,Au Courant Regional Kitchen,Benjamin Maides,Best Chef: Midwest,"Omaha, Nebraska",Semifinalist
Coquine,2020,Coquine,Katy Millard,Best Chef: Northwest & Pacific,"Portland, Oregon",Nominee
Homer,2020,Homer,Logan Cox,Best Chef: Northwest & Pacific,"Seattle, Washington",Semifinalist
Lovely’s Fifty Fifty,2020,Lovely’s Fifty Fifty,Sarah Minnick,Best Chef: Northwest & Pacific,"Portland, Oregon",Semifinalist
Aragosta at Goose Cove,2020,Aragosta at Goose Cove,Devin Finigan,Best Chef: Northeast,"Deer Isle, Maine",Semifinalist
big king,2020,big king,James Mark,Best Chef: Northeast,"Providence, Rhode Island",Semifinalist
Honey Road,2020,Honey Road,Cara Chigazola Tobin,Best Chef: Northeast,"Burlington, Vermont",Semifinalist
Nicks On Broadway,2020,Nicks On Broadway,Derek Wagner,Best Chef: Northeast,"Providence, Rhode Island",Semifinalist
Corvino Supper Club & Tasting Room,2020,Corvino Supper Club & Tasting Room,Michael Corvino,Best Chef: Midwest,"Kansas City, Missouri",Nominee
The Purple House,2020,The Purple House,Krista Kern Desjarlais,Best Chef: Northeast,"North Yarmouth, Maine",Nominee
Palace Diner,2020,Palace Diner,Greg Mitchell,Best Chef: Northeast,"Biddeford, Maine",Nominee
Orfano,2020,Orfano,Tiffani E Faison,Best Chef: Northeast,"Boston, Massachusetts",Nominee
The Diplomat,2020,The Diplomat,Dane Baldwin,Best Chef: Midwest,"Milwaukee, Wisconsin",Semifinalist
Laziz Kitchen,2020,Laziz Kitchen,Moudi Sbeity,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Laziz Kitchen,2020,Laziz Kitchen,Derek Kitchen,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Boka,2020,Boka,,Outstanding Restaurant,"Chicago, Illinois",Semifinalist
Kogi BBQ,2020,Kogi BBQ,,Outstanding Restaurant,"Los Angeles, California",Semifinalist
"(Phoenicia, Forest, Leila)",2020,"(Phoenicia, Forest, Leila)",Sameer Eid,Outstanding Restaurateur,"Birmingham, Michigan",Semifinalist
"McGuire Moorman Hospitality (Jeffrey's, Perla’s, Pool Burger, and others)",2020,"McGuire Moorman Hospitality (Jeffrey's, Perla’s, Pool Burger, and others)",Tom Moorman,Outstanding Restaurateur,"Austin, Texas",Semifinalist
"Ne Timeas Restaurant Group (Flour + Water, Central Kitchen, Trick Dog and others)",2020,"Ne Timeas Restaurant Group (Flour + Water, Central Kitchen, Trick Dog and others)",David White,Outstanding Restaurateur,"San Francisco, California",Semifinalist
"JK Food Group (Little Donkey, Toro, Coppa)",2020,"JK Food Group (Little Donkey, Toro, Coppa)",Jamie Bissonnette,Outstanding Restaurateur,"Cambridge, Massachusetts",Nominee
Mai Lee Restaurant,2020,Mai Lee Restaurant,,Outstanding Restaurant,"Saint Louis, Missouri",Semifinalist
Komi,2020,Komi,,Outstanding Restaurant,"Washington, District of Columbia",Semifinalist
The Wolf’s Tailor,2020,The Wolf’s Tailor,Kelly Whitaker,Best Chef: Mountain,"Denver, Colorado",Nominee
Bolete,2020,Bolete,,Outstanding Restaurant,"Bethlehem, Pennsylvania",Semifinalist
SriPraPhai,2020,SriPraPhai,,Outstanding Restaurant,"Woodside, New York",Semifinalist
